epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-07-03,434,RJ,Cordeiro,3301504,city,2665,12091.10294,0,14,0,0.0053,22041,False,True
202126,2021-07-03,403,RJ,Duas Barras,3301603,city,203,1760.92991,0,6,0,0.0296,11528,False,True
202126,2021-07-03,467,RJ,Duque de Caxias,3301702,city,22060,2385.83467,0,1469,0,0.0666,924624,False,True
202126,2021-07-03,425,RJ,Engenheiro Paulo de Frontin,3301801,city,1427,10141.42563,0,59,0,0.0413,14071,False,True
202126,2021-07-03,473,RJ,Guapimirim,3301850,city,4738,7718.12081,0,173,0,0.0365,61388,False,True
202126,2021-07-03,457,RJ,Iguaba Grande,3301876,city,4360,15119.46458,0,112,0,0.0257,28837,False,True
202126,2021-07-03,470,RJ,Importados/Indefinidos,,city,0,,0,0,0,0.0,,False,True
202126,2021-07-03,464,RJ,Itaboraí,3301900,city,10674,4400.86912,0,739,0,0.0692,242543,False,True
202126,2021-07-03,458,RJ,Itaguaí,3302007,city,5147,3817.71115,0,353,0,0.0686,134819,False,True
202126,2021-07-03,433,RJ,Italva,3302056,city,533,3483.88784,0,23,0,0.0432,15299,False,True
202126,2021-07-03,429,RJ,Itaocara,3302106,city,2367,10192.92051,0,75,0,0.0317,23222,False,True
202126,2021-07-03,455,RJ,Itaperuna,3302205,city,7019,6762.04239,0,197,0,0.0281,103800,False,True
202126,2021-07-03,450,RJ,Itatiaia,3302254,city,1886,5881.98603,0,66,0,0.035,32064,False,True
202126,2021-07-03,453,RJ,Japeri,3302270,city,1050,994.80805,0,82,0,0.0781,105548,False,True
202126,2021-07-03,419,RJ,Laje do Muriaé,3302304,city,512,6988.80699,0,10,0,0.0195,7326,False,True
202126,2021-07-03,460,RJ,Macaé,3302403,city,25808,9869.17832,0,695,0,0.0269,261501,False,True
202126,2021-07-03,437,RJ,Macuco,3302452,city,993,17659.61231,0,10,0,0.0101,5623,False,True
202126,2021-07-03,458,RJ,Magé,3302502,city,11947,4847.97085,0,540,0,0.0452,246433,False,True
202126,2021-07-03,463,RJ,Mangaratiba,3302601,city,2778,6143.29943,0,134,0,0.0482,45220,False,True
202126,2021-07-03,462,RJ,Maricá,3302700,city,9083,5521.44629,0,493,0,0.0543,164504,False,True
